Krankenkasse,Jahr,Quartal,time,churn_rel,predicted_effect_cf
actimonda krankenkasse,2016,1,2016 Q1,1.7010025854303397,2.8169842589139127
actimonda krankenkasse,2016,2,2016 Q2,2.570945440741721,3.1963991317468605
actimonda krankenkasse,2016,3,2016 Q3,1.103534900412704,1.9504578807959194
actimonda krankenkasse,2016,4,2016 Q4,1.582882243322389,3.6480734768290293
actimonda krankenkasse,2017,1,2017 Q1,0.5558042782734033,-0.20809469968853372
actimonda krankenkasse,2017,2,2017 Q2,1.067457214837981,-2.72384938740753
actimonda krankenkasse,2017,3,2017 Q3,0.6607858516616346,-1.6847553292343704
actimonda krankenkasse,2017,4,2017 Q4,1.3619964562474651,-1.7964893843654142
actimonda krankenkasse,2018,1,2018 Q1,0.24114909121543351,0.3486693526517868
actimonda krankenkasse,2018,2,2018 Q2,0.1859419482934311,-0.022801086926755323
actimonda krankenkasse,2018,3,2018 Q3,-0.04089422028353326,1.383975667185274
actimonda krankenkasse,2018,4,2018 Q4,0.21924073471871097,0.7439686356039312
actimonda krankenkasse,2019,1,2019 Q1,-0.46682995247964165,1.0589645521205076
actimonda krankenkasse,2019,2,2019 Q2,-0.6246582257182518,1.0748331833569373
actimonda krankenkasse,2019,3,2019 Q3,-0.500539693961777,0.5941411186955396
actimonda krankenkasse,2019,4,2019 Q4,0.13081627226801382,0.18087364546577323
actimonda krankenkasse,2020,1,2020 Q1,-0.6001189616348728,-0.05240210315564693
actimonda krankenkasse,2020,2,2020 Q2,-4.558520244061421,-0.19262393743835735
actimonda krankenkasse,2020,3,2020 Q3,-0.28438035312426524,-0.6022313808916798
actimonda krankenkasse,2020,4,2020 Q4,0.25038455924457964,-1.1792515867064546
aok baden-württemberg,2016,1,2016 Q1,1.7768901565417736,1.3602902570579967
aok baden-württemberg,2016,2,2016 Q2,0.87249591854152,2.3804450605080896
aok baden-württemberg,2016,3,2016 Q3,0.9229835811801553,3.088081301978411
aok baden-württemberg,2016,4,2016 Q4,1.2171055882050121,2.713819666763806
aok baden-württemberg,2017,1,2017 Q1,0.690311080878509,0.355686793769744
aok baden-württemberg,2017,2,2017 Q2,0.7040628029900229,0.32097093550798605
aok baden-württemberg,2017,3,2017 Q3,0.8523481657774322,0.617021128254935
aok baden-württemberg,2017,4,2017 Q4,1.1075508390933264,0.6134059275103884
aok baden-württemberg,2018,1,2018 Q1,0.5460188473510761,-0.3049182745686696
aok baden-württemberg,2018,2,2018 Q2,1.0235230360841248,-0.3253713766392963
aok baden-württemberg,2018,3,2018 Q3,0.7416036594416383,0.5213632776975569
aok baden-württemberg,2018,4,2018 Q4,1.3210535448900143,0.3945241860721604
aok baden-württemberg,2019,1,2019 Q1,-0.4761680938881626,-0.08444868481185583
aok baden-württemberg,2019,2,2019 Q2,-0.32324421364520944,0.010383724968281473
aok baden-württemberg,2019,3,2019 Q3,0.39645946418153977,0.7940781439216921
aok baden-württemberg,2019,4,2019 Q4,0.8252715559019054,0.5934772800702113
aok baden-württemberg,2020,1,2020 Q1,0.19135483376469353,-0.02883366194335292
aok baden-württemberg,2020,2,2020 Q2,0.3400492525398578,0.24317883943850008
aok baden-württemberg,2020,3,2020 Q3,0.1544328963312075,0.5207938402326406
aok baden-württemberg,2020,4,2020 Q4,0.3499091015009511,0.4567994260430001
aok baden-württemberg,2021,1,2021 Q1,-0.08981427381019251,0.5867544968199061
aok baden-württemberg,2021,2,2021 Q2,-0.2535723269419583,0.5932291186186165
aok baden-württemberg,2021,3,2021 Q3,-0.012318627100630983,0.573480411397371
aok baden-württemberg,2021,4,2021 Q4,0.42879334061306673,0.5653833936904064
aok baden-württemberg,2022,1,2022 Q1,-0.09038632631952029,0.4432642637939779
aok baden-württemberg,2022,2,2022 Q2,-0.1730593304492042,0.36800059689918435
aok baden-württemberg,2022,3,2022 Q3,0.7814514783844743,0.8756962795396788
aok baden-württemberg,2022,4,2022 Q4,0.6286784569183559,0.6780987870992335
aok baden-württemberg,2023,1,2023 Q1,0.4162812210915819,0.5707779246062555
aok baden-württemberg,2023,2,2023 Q2,-0.23626216953847406,0.4194437454358465
aok baden-württemberg,2023,3,2023 Q3,0.25569547026408734,0.1475046088871384
aok baden-württemberg,2023,4,2023 Q4,0.2823277040574532,0.10144833531998027
aok baden-württemberg,2024,1,2024 Q1,0.0629920186442743,0.006809311368374036
aok baden-württemberg,2024,2,2024 Q2,-0.1417989219762501,-0.29782663708573853
aok baden-württemberg,2024,3,2024 Q3,0.2538723924573864,-0.391806683898974
aok baden-württemberg,2024,4,2024 Q4,0.29280725554152187,-0.3128101029496424
aok baden-württemberg,2025,1,2025 Q1,0.05998479744389005,0.6815704877893868
aok bayern,2016,1,2016 Q1,0.7410229885912883,0.5774761575500655
aok bayern,2016,2,2016 Q2,0.3478846203852764,0.04939868686805582
aok bayern,2016,3,2016 Q3,0.8000138989458296,0.02980862644113169
aok bayern,2016,4,2016 Q4,1.0093748110270517,0.07326500078560444
aok bayern,2017,1,2017 Q1,0.014287114902241719,0.5040264271775704
aok bayern,2017,2,2017 Q2,1.1213204729111332,0.20842597504757235
aok bayern,2017,3,2017 Q3,0.6775653630096324,0.020873217521855638
aok bayern,2017,4,2017 Q4,1.0373439269039086,0.27432109034041496
aok bayern,2018,1,2018 Q1,-0.09625691600600145,0.9161027763055194
aok bayern,2018,2,2018 Q2,0.260796916360673,1.0406407232437338
aok bayern,2018,3,2018 Q3,0.470279043646195,1.2251545388437304
aok bayern,2018,4,2018 Q4,0.4301980000262588,0.7862575202534553
aok bayern,2019,1,2019 Q1,0.5953859466664367,0.3106863790283722
aok bayern,2019,2,2019 Q2,-0.37311782050970094,0.20920804310455357
aok bayern,2019,3,2019 Q3,-0.8670690285862731,-0.20924997131703144
aok bayern,2019,4,2019 Q4,0.6014305884092046,0.2514239896689225
aok bayern,2020,1,2020 Q1,-0.3680461881964178,0.32893573161669737
aok bayern,2020,2,2020 Q2,0.49764334480237005,0.674908676353442
aok bayern,2020,3,2020 Q3,-0.24000177882036416,0.09512514580428173
aok bayern,2020,4,2020 Q4,0.3453362884498315,0.43256291269423036
aok bayern,2021,1,2021 Q1,-0.5254258464870267,0.34470645524769944
aok bayern,2021,2,2021 Q2,-0.0658995412989997,0.3545297467898207
aok bayern,2021,3,2021 Q3,0.19347189462526865,0.2072874624924736
aok bayern,2021,4,2021 Q4,0.4734211767539414,0.599579927190263
aok bayern,2022,1,2022 Q1,-0.336517052666625,0.23618029029321003
aok bayern,2022,2,2022 Q2,-0.22927798591705345,-0.01279151572813392
aok bayern,2022,3,2022 Q3,0.8830020843157333,-0.011593804757198992
aok bayern,2022,4,2022 Q4,0.8218929536701962,0.3936201509790337
aok bayern,2023,1,2023 Q1,-0.09574045503325952,0.5290434750406233
aok bayern,2023,2,2023 Q2,-0.06389728984326903,0.5052007025042345
aok bayern,2023,3,2023 Q3,0.20983911052616394,0.2224661456406957
aok bayern,2023,4,2023 Q4,0.37983686729043303,0.6084068526365908
